Column,Red1,Red2,Red3,Red4,Red5,Red6,Red7,Red8,Red9,Red10
Red1,0,0,1,1,1,0,0,0,1,1
Red2,0,0,0,0,0,1,1,1,0,1
Red3,0,0,0,1,0,0,0,0,1,1
Red4,1,1,1,0,0,1,0,1,1,0
Red5,0,0,0,0,0,0,1,1,1,0
Red6,0,0,0,0,0,0,0,0,0,0
RedSum16,0,0,0,0,0,0,0,1,1,1
RedGap16,1,1,1,1,0,1,1,1,1,1
RedSum25,0,1,1,0,1,1,0,0,1,1
RedGap25,1,1,0,1,1,1,1,0,1,1
RedSum34,0,1,1,1,0,0,1,1,0,0
RedGap12,0,0,0,0,0,0,0,1,1,1
RedGap23,1,1,0,0,1,1,1,0,0,1
RedGap34,0,0,0,0,0,0,0,0,0,0
RedGap45,0,0,0,0,0,0,0,0,0,0
RedGap56,0,0,0,0,0,0,0,0,0,0
RedSum_,0,1,0,0,0,0,0,0,1,1
