key,gap,pro1,pro2,pro3,range1,range2
11_8___1__,0,0.3,2.3,4.6,3,4
15_9___1__,0,-0.9,1.1,3.2,3,5
2_9___1__,0,-1.1,1.0,3.2,3,7
3_1___1__,0,-0.3,2.2,4.7,3,3
5_8___1__,2,-1.7,0.3,2.4,3,4
8_8___1__,0,-0.6,1.4,3.3,3,7
10_8___1__,0,-1.0,0.6,2.2,3,4
11_9___1__,0,-1.1,1.4,4.2,3,4
12_1___1__,0,-1.0,1.4,4.0,2,3
15_8___1__,0,-0.8,1.7,4.3,3,5
15_10___1__,0,-1.1,1.2,3.3,3,4
17_7___1__,2,-1.3,0.2,1.9,3,5
17_8___1__,2,-1.1,0.8,2.9,3,5
19_8___1__,2,-0.2,2.4,5.1,3,6
3_8___1__,2,-0.9,1.2,3.4,3,3
4_6___1__,2,-0.2,1.9,4.2,3,10
8_7___1__,2,-0.7,1.4,3.5,3,10
8_9___1__,0,-0.9,1.1,3.2,3,10
8_10___1__,0,-1.3,0.9,3.3,3,8
14_8___1__,2,-1.0,1.2,3.2,3,6
18_7___1__,2,-0.1,1.8,4.0,3,4
12_7___1__,2,-1.4,0.8,2.9,3,4
1_7___1__,2,-0.2,2.2,4.4,1,3
2_1___1__,2,-0.0,1.9,3.8,3,3
18_6___1__,2,-1.1,1.1,3.1,3,5
2_2___1__,0,-0.1,1.8,3.7,3,4
7_2___1__,0,-0.1,1.8,3.6,3,3
7_3___1__,2,-0.4,2.8,6.0,3,4
7_7___1__,2,-0.6,1.5,3.8,3,4
7_10___1__,2,-0.5,1.7,4.0,3,3
8_1___1__,2,0.4,2.6,4.8,2,3
9_7___1__,2,0.2,2.5,5.0,3,3
10_7___1__,2,-0.1,1.7,3.5,3,6
11_3___1__,2,-0.3,2.2,4.7,3,5
11_10___1__,2,-0.3,2.3,4.9,3,3
1_2___1__,0,-0.2,1.8,4.2,3,3
1_6___1__,2,-0.8,2.2,5.2,1,3
2_3___1__,0,0.9,3.5,6.2,3,5
3_2___1__,0,-0.3,1.6,3.4,3,4
3_3___1__,0,-1.1,1.8,4.4,3,5
8_7___2__,0,-0.4,1.4,3.3,9,12
14_7___2__,4,-1.1,0.9,3.2,9,11
14_10___2__,0,-1.7,1.4,4.5,9,10
17_10___2__,0,-1.5,0.9,3.2,9,9
5_6___2__,3,-0.6,1.5,3.6,9,9
11_10___2__,0,-1.4,0.9,3.1,4,9
14_2___2__,0,-1.7,2.0,5.8,9,12
15_9___2__,0,0.1,1.9,3.7,7,9
17_9___2__,0,-0.8,1.1,3.1,9,11
18_9___2__,0,-0.4,2.0,4.3,9,10
2_10___2__,0,-0.6,1.6,3.9,9,13
5_9___2__,0,-1.3,1.2,3.5,8,9
5_10___2__,0,-1.4,1.2,3.9,7,9
8_9___2__,0,-1.6,0.6,2.6,9,13
10_6___2__,0,-0.7,1.7,4.0,9,14
12_8___2__,0,-0.6,1.7,4.0,7,9
14_9___2__,0,-1.0,1.7,4.2,9,10
