bravo2.D3_1    126_[6, 4, 0, 6, 5, 0, 0, 0, 4, 17, 2, 3, 1, 1, 6]    (15)
bravo3.D3_8    125_[3, 4, 5, 2, 0, 1, 0, 0, 8, 4, 0, 3, 0, 4, 0]    (25)
bravo3.A5_6    124_[9, 5, 2, 8, 0, 8, 5, 1, 5, 2, 2, 0, 4, 5, 0]    (27)
bravo1.D2_15    122_[2, 0, 1, 0, 14, 7, 1, 5, 2, 5, 0, 0, 8, 20, 7]    (13)
bravo2.D2_2    120_[6, 2, 2, 7, 0, 7, 1, 3, 10, 4, 3, 0, 2, 0, 4]    (26)
bravo3.A3_6    120_[1, 7, 1, 3, 1, 8, 2, 4, 3, 3, 4, 3, 0, 0, 1]    (21)
bravo1.D3_11    118_[16, 1, 4, 8, 0, 4, 3, 0, 0, 14, 0, 2, 0, 15, 0]    (25)
bravo1.D2_13    118_[1, 11, 10, 16, 1, 0, 5, 4, 1, 5, 5, 3, 14, 2, 2]    (5)
bravo1.D2_8    117_[13, 2, 2, 2, 2, 0, 0, 2, 6, 1, 5, 5, 14, 3, 8]    (17)
bravo1.D4_1    117_[4, 0, 2, 0, 3, 2, 1, 13, 0, 6, 1, 1, 0, 0, 3]    (6)
bravo2.A4_2    117_[4, 3, 0, 3, 0, 2, 0, 2, 0, 2, 4, 14, 7, 16, 2]    (17)
bravo3.A4_2    117_[4, 3, 5, 6, 0, 4, 21, 20, 2, 0, 2, 2, 2, 5, 6]    (17)
bravo3.D1_3    117_[3, 1, 0, 10, 5, 2, 0, 1, 0, 3, 2, 9, 8, 0, 0]    (2)
bravo1.D3_8    117_[2, 1, 0, 1, 5, 0, 3, 5, 1, 3, 1, 2, 0, 9, 2]    (27)
bravo2.A3_6    117_[0, 3, 0, 3, 0, 0, 1, 3, 2, 11, 0, 13, 3, 3, 2]    (21)
bravo1.D2_11    116_[5, 2, 2, 9, 4, 1, 0, 1, 0, 1, 3, 1, 9, 4, 10]    (8)
bravo1.A3_6    116_[3, 5, 3, 14, 0, 1, 0, 4, 8, 1, 0, 7, 0, 4, 2]    (7)
bravo3.D3_5    116_[3, 0, 2, 7, 8, 3, 0, 1, 3, 3, 4, 1, 6, 0, 3]    (8)
bravo1.A3_14    116_[2, 6, 4, 0, 0, 14, 2, 1, 4, 3, 8, 0, 2, 4, 3]    (20)
bravo3.A2_8    116_[2, 0, 8, 13, 0, 2, 4, 4, 6, 0, 2, 5, 8, 6, 11]    (9)
bravo1.A3_16    116_[0, 9, 0, 3, 2, 3, 4, 3, 2, 3, 3, 3, 1, 10, 2]    (23)
bravo1.D4_3    115_[3, 6, 4, 2, 2, 1, 2, 4, 15, 0, 1, 0, 3, 2, 0]    (8)
bravo2.D2_3    115_[3, 0, 5, 1, 2, 3, 0, 7, 1, 1, 1, 1, 0, 4, 12]    (8)
bravo3.D2_6    115_[2, 0, 13, 4, 0, 2, 0, 4, 8, 9, 10, 2, 2, 4, 1]    (10)
bravo1.A2_15    115_[1, 3, 7, 4, 8, 2, 0, 5, 3, 3, 5, 0, 1, 8, 0]    (14)
bravo2.A1_1    115_[0, 1, 0, 3, 4, 3, 5, 1, 0, 8, 12, 4, 0, 0, 3]    (1)
bravo2.A1_4    115_[0, 3, 2, 1, 0, 14, 6, 1, 0, 1, 0, 3, 0, 1, 1]    (7)
bravo2.D2_1    115_[0, 5, 4, 0, 6, 2, 0, 4, 1, 2, 9, 9, 0, 14, 2]    (5)
bravo1.A2_12    114_[6, 1, 12, 3, 0, 1, 3, 1, 1, 3, 0, 8, 10, 5, 11]    (17)
bravo1.A4_8    114_[6, 2, 0, 11, 7, 10, 5, 1, 1, 0, 4, 1, 2, 2, 9]    (18)
bravo2.D2_6    114_[5, 2, 0, 4, 0, 2, 17, 5, 0, 10, 1, 1, 2, 0, 5]    (14)
bravo1.D5_7    114_[3, 3, 0, 2, 1, 6, 9, 1, 21, 4, 15, 6, 2, 0, 3]    (16)
bravo2.D1_4    114_[3, 11, 6, 6, 2, 3, 5, 2, 7, 2, 5, 1, 1, 7, 2]    (2)
bravo3.A6_2    114_[1, 6, 1, 4, 2, 1, 9, 4, 4, 1, 6, 1, 1, 3, 3]    (31)
bravo3.A1_1    114_[0, 1, 0, 3, 4, 3, 5, 1, 0, 8, 12, 4, 0, 0, 3]    (1)
bravo2.A5_4    113_[4, 3, 3, 4, 5, 12, 0, 10, 5, 19, 2, 5, 14, 4, 6]    (32)
bravo3.A1_4    113_[4, 2, 1, 0, 18, 2, 1, 0, 1, 0, 4, 1, 8, 1, 4]    (7)
bravo2.D5_4    113_[3, 8, 0, 0, 3, 8, 3, 5, 0, 4, 0, 1, 5, 3, 1]    (18)
bravo1.D3_15    113_[2, 6, 4, 0, 2, 12, 2, 1, 8, 9, 2, 3, 1, 2, 4]    (20)
bravo3.D4_8    113_[0, 3, 12, 7, 3, 0, 4, 1, 2, 2, 0, 0, 12, 0, 3]    (30)
bravo2.D1_9    112_[17, 2, 5, 6, 0, 3, 8, 2, 13, 0, 4, 2, 5, 4, 5]    (11)
bravo2.D1_3    112_[9, 3, 9, 0, 0, 1, 7, 0, 1, 2, 13, 11, 2, 4, 2]    (9)
bravo3.A5_1    112_[8, 1, 4, 5, 3, 1, 2, 4, 4, 8, 0, 6, 10, 7, 1]    (23)
bravo1.A5_2    112_[7, 4, 8, 2, 4, 8, 8, 1, 0, 11, 3, 0, 7, 16, 1]    (31)
bravo3.D2_4    112_[6, 8, 2, 0, 0, 11, 1, 0, 0, 3, 1, 6, 5, 2, 13]    (20)
bravo2.D3_4    112_[4, 4, 4, 9, 2, 1, 2, 6, 3, 4, 7, 4, 4, 1, 2]    (26)
bravo3.A3_5    112_[4, 1, 0, 2, 12, 4, 3, 8, 1, 2, 3, 0, 6, 4, 6]    (20)
bravo3.D3_3    112_[4, 3, 0, 1, 2, 11, 0, 5, 5, 0, 15, 3, 2, 1, 8]    (7)
bravo2.A1_9    112_[3, 1, 6, 4, 1, 12, 0, 1, 4, 3, 6, 5, 1, 4, 3]    (9)
bravo2.D4_1    112_[3, 2, 2, 1, 2, 1, 1, 4, 0, 1, 6, 3, 3, 4, 8]    (24)
bravo3.D3_10    112_[3, 1, 6, 4, 2, 3, 4, 22, 2, 3, 5, 0, 1, 6, 8]    (10)
bravo1.D4_18    112_[2, 4, 2, 0, 2, 12, 1, 0, 3, 0, 0, 2, 21, 2, 3]    (22)
bravo2.A2_7    112_[2, 1, 0, 8, 2, 0, 14, 10, 9, 5, 3, 0, 4, 3, 4]    (2)
bravo2.D1_1    112_[2, 5, 3, 5, 11, 9, 3, 8, 0, 3, 0, 1, 10, 1, 0]    (21)
bravo1.A2_9    112_[1, 1, 1, 0, 9, 1, 7, 13, 5, 8, 1, 6, 4, 2, 6]    (8)
bravo2.A6_2    112_[1, 6, 1, 4, 2, 1, 9, 4, 4, 1, 6, 1, 1, 3, 3]    (31)
bravo3.D4_2    112_[0, 6, 1, 3, 0, 3, 3, 4, 8, 2, 6, 5, 2, 9, 1]    (10)
bravo1.A4_2    111_[11, 1, 8, 1, 1, 8, 0, 5, 9, 0, 0, 4, 0, 5, 1]    (30)
bravo1.D3_2    111_[7, 0, 1, 18, 7, 1, 0, 0, 9, 0, 0, 0, 1, 0, 1]    (4)
bravo3.A5_4    111_[3, 0, 3, 3, 4, 5, 12, 0, 10, 4, 0, 19, 8, 14, 3]    (32)
