Date,6_6,15_8,1_9,6_1,17_3,10_10,17_2,7_7,10_9,13_7,16_1,1_7,3_1,4_1,6_10,10_6,13_2,13_9,15_2,15_9
20240324,1,2,0,1,1,0,0,2,0,1,1,1,1,1,1,0,0,1,1,2
20240326,0,0,3,0,0,1,2,0,2,0,2,0,0,1,0,1,0,1,0,2
20240328,0,2,2,0,0,0,2,0,2,0,0,2,0,1,0,1,0,2,0,1
20240331,0,0,2,1,3,1,0,0,0,0,1,2,1,1,0,2,0,1,0,0
20240402,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,1,1,1
20240404,0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0
20240407,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,3,2
20240409,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0
20240411,0,2,0,0,1,0,2,1,1,0,0,0,2,2,1,0,1,2,2,0
20240414,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0
20240416,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
20240418,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1
20240421,2,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,2,0,1
20240423,0,0,1,1,0,0,1,0,1,2,0,0,0,0,2,0,2,1,2,0
20240425,1,2,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,1,2
20240428,1,1,0,1,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
20240430,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,1,0,1
20240502,0,0,0,1,0,2,1,0,0,1,4,1,0,1,1,2,0,1,0,0
20240505,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
20240507,1,1,0,0,0,1,2,1,2,1,0,0,0,2,0,1,0,0,0,0
20240509,2,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1
20240512,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,1,2,0,1,1
20240514,0,2,0,0,0,0,1,0,3,1,0,0,1,0,1,0,0,1,0,1
20240516,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,2
20240519,1,1,2,0,2,1,0,1,1,2,1,1,1,0,1,2,1,1,2,0
20240521,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
20240523,0,1,1,1,1,1,0,0,2,0,0,1,0,0,1,1,1,2,0,1
20240526,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20240528,0,0,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0
20240530,1,2,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0
20240602,0,0,1,0,1,0,1,0,0,0,2,1,0,1,1,0,0,0,1,0
20240604,0,2,0,1,0,2,1,1,1,0,1,2,2,0,2,0,0,1,2,0
20240606,1,0,0,0,0,1,1,1,0,1,0,0,2,1,0,0,1,1,0,0
