row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,7,13,16,22,23,26,107,33,19,36,10,38,6,3,6,1,3,9
1_2,6,10,12,19,22,28,97,34,22,32,12,31,4,2,7,3,6,10
1_3,4,11,17,20,26,30,108,34,26,37,15,37,7,6,3,6,4,7
1_4,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,7
1_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
1_6,2,4,9,14,22,22,73,24,20,26,18,23,2,5,5,8,0,11
1_7,1,2,5,11,22,23,64,24,22,24,20,16,1,3,6,11,1,8
1_8,1,3,6,12,22,25,69,26,24,25,19,18,2,3,6,10,3,7
1_9,8,9,11,14,19,24,85,32,16,28,10,25,1,2,3,5,5,14
1_10,5,9,13,16,21,27,91,32,22,30,12,29,4,4,3,5,6,11
2_1,10,12,15,20,22,25,104,35,15,34,10,35,2,3,5,2,3,3
2_2,8,11,15,17,21,27,99,35,19,32,10,32,3,4,2,4,6,6
2_3,6,13,17,22,26,30,114,36,24,39,13,39,7,4,5,4,4,8
2_4,5,9,14,20,24,29,101,34,24,33,15,34,4,5,6,4,5,8
2_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
2_6,2,7,10,21,24,26,90,28,24,31,17,31,5,3,11,3,2,10
2_7,1,6,9,14,16,21,67,22,20,22,10,23,5,3,5,2,5,10
2_8,3,8,12,14,18,26,81,29,23,26,10,26,5,4,2,4,8,11
2_9,5,7,9,16,19,27,83,32,22,26,12,25,2,2,7,3,8,9
2_10,4,7,12,19,21,29,92,33,25,28,14,31,3,5,7,2,8,9
3_1,8,16,17,26,26,28,121,36,20,42,10,43,8,1,9,0,2,2
3_2,9,12,15,20,23,29,108,38,20,35,11,35,3,3,5,3,6,7
3_3,6,13,18,20,24,29,110,35,23,37,11,38,7,5,2,4,5,7
3_4,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,7
3_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
3_6,3,5,13,19,19,18,77,21,15,24,14,32,2,8,6,0,-1,9
3_7,4,4,8,11,13,18,58,22,14,17,9,19,0,4,3,2,5,10
3_8,4,8,12,17,17,24,82,28,20,25,9,29,4,4,5,0,7,13
3_9,6,8,7,15,18,28,82,34,22,26,10,22,2,-1,8,3,10,13
3_10,7,7,10,16,20,28,88,35,21,27,13,26,0,3,6,4,8,11
4_1,6,8,14,18,22,28,96,34,22,30,14,32,2,6,4,4,6,6
4_2,8,11,15,18,21,27,100,35,19,32,10,33,3,4,3,3,6,7
4_3,6,12,19,22,26,30,115,36,24,38,14,41,6,7,3,4,4,8
4_4,5,9,15,19,24,29,101,34,24,33,15,34,4,6,4,5,5,8
4_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
4_6,1,4,7,14,17,20,63,21,19,21,13,21,3,3,7,3,3,7
4_7,0,3,7,14,18,20,62,20,20,21,15,21,3,4,7,4,2,7
4_8,2,4,9,17,21,23,76,25,21,25,17,26,2,5,8,4,2,10
4_9,4,6,10,11,17,26,74,30,22,23,11,21,2,4,1,6,9,10
4_10,4,7,12,15,20,28,86,32,24,27,13,27,3,5,3,5,8,12
5_1,6,12,17,23,22,31,111,37,25,34,10,40,6,5,6,-1,9,4
5_2,6,12,18,21,23,30,110,36,24,35,11,39,6,6,3,2,7,8
5_3,5,12,16,19,25,29,106,34,24,37,13,35,7,4,3,6,4,8
5_4,5,10,15,19,24,29,102,34,24,34,14,34,5,5,4,5,5,8
5_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
5_6,0,3,11,16,20,24,74,24,24,23,17,27,3,8,5,4,4,11
5_7,1,3,7,10,16,20,57,21,19,19,13,17,2,4,3,6,4,9
5_8,6,7,13,16,23,28,93,34,22,30,16,29,1,6,3,7,5,6
5_9,5,6,11,17,20,27,86,32,22,26,14,28,1,5,6,3,7,7
5_10,4,6,12,18,21,29,90,33,25,27,15,30,2,6,6,3,8,12
6_1,10,15,17,21,25,29,117,39,19,40,10,38,5,2,4,4,4,4
6_2,5,9,12,17,19,28,90,33,23,28,10,29,4,3,5,2,9,8
6_3,7,13,18,20,25,30,113,37,23,38,12,38,6,5,2,5,5,6
6_4,5,10,15,19,24,30,103,35,25,34,14,34,5,5,4,5,6,7
6_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
6_6,0,5,10,16,19,21,71,21,21,24,14,26,5,5,6,3,2,5
6_7,1,3,9,14,21,23,71,24,22,24,18,23,2,6,5,7,2,5
6_8,2,5,12,16,23,26,84,28,24,28,18,28,3,7,4,7,3,4
6_9,6,8,15,19,23,28,99,34,22,31,15,34,2,7,4,4,5,7
6_10,5,10,13,19,22,28,97,33,23,32,12,32,5,3,6,3,6,9
7_1,7,11,13,19,22,32,104,39,25,33,11,32,4,2,6,3,10,5
7_2,6,10,13,17,20,29,95,35,23,30,10,30,4,3,4,3,9,6
7_3,8,15,19,22,26,30,120,38,22,41,11,41,7,4,3,4,4,7
7_4,5,10,15,19,24,29,102,34,24,34,14,34,5,5,4,5,5,7
7_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
7_6,5,7,13,17,20,23,85,28,18,27,13,30,2,6,4,3,3,9
7_7,5,6,8,12,19,21,71,26,16,25,13,20,1,2,4,7,2,8
7_8,5,7,9,15,23,27,86,32,22,30,16,24,2,2,6,8,4,8
7_9,7,6,12,16,19,27,87,34,20,25,13,28,-1,6,4,3,8,12
7_10,4,5,12,18,19,29,87,33,25,24,14,30,1,7,6,1,10,11
8_1,10,15,19,23,26,29,122,39,19,41,11,42,5,4,4,3,3,3
8_2,8,12,14,18,21,30,103,38,22,33,9,32,4,2,4,3,9,8
8_3,7,12,17,20,25,29,110,36,22,37,13,37,5,5,3,5,4,7
8_4,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,7
8_5,4,10,14,19,24,29,100,33,25,34,14,33,6,4,5,5,5,8
8_6,2,5,14,18,17,24,80,26,22,22,12,32,3,9,4,-1,7,8
8_7,4,7,11,16,19,24,81,28,20,26,12,27,3,4,5,3,5,8
8_8,6,9,15,20,22,27,99,33,21,31,13,35,3,6,5,2,5,10
8_9,7,8,12,17,22,29,95,36,22,30,14,29,1,4,5,5,7,11
8_10,4,7,12,17,22,30,92,34,26,29,15,29,3,5,5,5,8,10
9_1,6,11,16,22,24,28,107,34,22,35,13,38,5,5,6,2,4,2
9_2,7,12,15,19,22,28,103,35,21,34,10,34,5,3,4,3,6,8
9_3,7,12,18,20,25,28,110,35,21,37,13,38,5,6,2,5,3,7
9_4,5,9,15,19,24,29,101,34,24,33,15,34,4,6,4,5,5,7
9_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
