red1
23:(11.3, 22.3), (14.2, 47.5), (39.7, 113.7)
24:(14.3, 19.3), (22.5, 39.2), (59.6, 93.8)
25:(14.9, 18.7), (24.1, 37.6), (63.4, 90.0)
26:(18.2, 15.4), (30.2, 31.5), (78.2, 75.2)
27:(21.2, 12.4), (37.1, 24.6), (94.7, 58.7)
28:(25.1, 8.5), (49.0, 12.7), (120.1, 33.3)
29:(30.6, 3.0), (53.3, 8.4), (133.3, 20.1)
30:(32.3, 1.3), (58.2, 3.5), (144.8, 8.6)
31:(33.0, 0.6), (59.9, 1.8), (149.0, 4.4)
32:(33.6, 0), (61.7, 0), (153.4, 0)
33:(0, 33.6), (0, 61.7), (0, 153.4)

red_sum_all
69:(0, 48.5), (0, 52.2), (0, 145.3)
70:(1.3, 47.2), (0.7, 51.5), (2.7, 142.6)
71:(1.3, 47.2), (0.7, 51.5), (2.7, 142.6)
72:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
73:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
74:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
75:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
76:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
77:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
78:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
79:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
80:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
81:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
82:(6.4, 42.1), (4.9, 47.3), (15.1, 130.2)
83:(48.5, 0), (52.2, 0), (145.3, 0)
84:(39.8, 8.7), (47.1, 5.1), (127.7, 17.6)
85:(39.8, 8.7), (47.1, 5.1), (127.7, 17.6)
86:(39.8, 8.7), (47.1, 5.1), (127.7, 17.6)
87:(38.8, 9.7), (40.4, 11.8), (114.5, 30.8)
88:(38.8, 9.7), (40.4, 11.8), (114.5, 30.8)
89:(38.8, 9.7), (40.4, 11.8), (114.5, 30.8)
90:(37.4, 11.1), (39.4, 12.8), (111.1, 34.2)
91:(37.4, 11.1), (39.4, 12.8), (111.1, 34.2)
92:(34.8, 13.7), (37.9, 14.3), (105.5, 39.8)
93:(33.0, 15.5), (32.8, 19.4), (93.2, 52.1)
94:(33.0, 15.5), (32.8, 19.4), (93.2, 52.1)
95:(33.0, 15.5), (32.8, 19.4), (93.2, 52.1)
96:(32.6, 15.9), (30.3, 21.9), (88.5, 56.8)
97:(32.6, 15.9), (30.3, 21.9), (88.5, 56.8)
98:(32.6, 15.9), (30.3, 21.9), (88.5, 56.8)
99:(31.8, 16.7), (25.8, 26.4), (79.6, 65.7)
100:(29.0, 19.5), (16.1, 36.1), (58.3, 87.0)
101:(28.3, 20.2), (14.4, 37.8), (54.1, 91.2)
102:(24.4, 24.1), (12.7, 39.5), (47.5, 97.8)
103:(20.6, 27.9), (11.4, 40.8), (41.6, 103.7)
104:(19.6, 28.9), (10.1, 42.1), (38.3, 107.0)
105:(19.6, 28.9), (10.1, 42.1), (38.3, 107.0)
106:(19.6, 28.9), (10.1, 42.1), (38.3, 107.0)
107:(12.9, 35.6), (6.8, 45.4), (25.4, 119.9)
108:(12.5, 36.0), (5.2, 47.0), (21.9, 123.4)
109:(12.5, 36.0), (5.2, 47.0), (21.9, 123.4)
110:(11.9, 36.6), (2.9, 49.3), (16.6, 128.7)
111:(11.9, 36.6), (2.9, 49.3), (16.6, 128.7)
112:(11.9, 36.6), (2.9, 49.3), (16.6, 128.7)
113:(11.9, 36.6), (2.9, 49.3), (16.6, 128.7)
114:(11.9, 36.6), (2.9, 49.3), (16.6, 128.7)
115:(11.9, 36.6), (2.9, 49.3), (16.6, 128.7)
116:(8.4, 40.1), (0.9, 51.3), (8.9, 136.4)
117:(8.4, 40.1), (0.9, 51.3), (8.9, 136.4)
118:(5.4, 43.1), (0.6, 51.6), (6.6, 138.7)
119:(5.4, 43.1), (0.6, 51.6), (6.6, 138.7)
120:(5.4, 43.1), (0.6, 51.6), (6.6, 138.7)
121:(5.4, 43.1), (0.6, 51.6), (6.6, 138.7)
122:(5.4, 43.1), (0.6, 51.6), (6.6, 138.7)
123:(5.4, 43.1), (0.6, 51.6), (6.6, 138.7)
124:(0, 48.5), (0, 52.2), (0, 145.3)

red_sum16
20:(0, 38.7), (0, 66.0), (0, 166.6)
21:(1.1, 37.6), (1.0, 65.0), (3.3, 163.3)
22:(1.6, 37.1), (3.0, 63.0), (7.9, 158.7)
23:(1.6, 37.1), (3.0, 63.0), (7.9, 158.7)
24:(3.3, 35.4), (10.9, 55.1), (25.3, 141.3)
25:(3.3, 35.4), (10.9, 55.1), (25.3, 141.3)
26:(4.9, 33.8), (12.1, 53.9), (29.2, 137.4)
27:(4.9, 33.8), (12.1, 53.9), (29.2, 137.4)
28:(9.4, 29.3), (18.6, 47.4), (46.4, 120.2)
29:(13.8, 24.9), (22.0, 44.0), (57.7, 108.9)
30:(13.8, 24.9), (22.0, 44.0), (57.7, 108.9)
31:(16.7, 22.0), (26.1, 39.9), (69.0, 97.6)
32:(17.4, 21.3), (27.6, 38.4), (72.7, 93.9)
33:(23.2, 15.5), (40.8, 25.2), (103.9, 62.7)
34:(38.7, 0), (66.0, 0), (166.6, 0)
35:(13.5, 25.2), (22.2, 43.8), (54.5, 112.1)
36:(11.8, 26.9), (18.4, 47.6), (45.8, 120.8)
37:(5.0, 33.7), (3.7, 62.3), (12.1, 154.5)
38:(3.4, 35.3), (2.5, 63.5), (8.1, 158.5)
39:(1.7, 37.0), (1.6, 64.4), (4.7, 161.9)
40:(0, 38.7), (0, 66.0), (0, 166.6)

red_gap16
18:(0, 19.8), (0, 79.3), (0, 171.1)
19:(1.4, 18.4), (5.1, 74.2), (11.3, 159.8)
20:(2.5, 17.3), (19.3, 60.0), (38.7, 132.4)
21:(5.0, 14.8), (32.4, 46.9), (65.6, 105.5)
22:(10.5, 9.3), (51.6, 27.7), (108.2, 62.9)
23:(15.1, 4.7), (65.7, 13.6), (139.3, 31.8)
24:(16.0, 3.8), (69.5, 9.8), (147.9, 23.2)
25:(17.7, 2.1), (72.7, 6.6), (156.0, 15.1)
26:(18.9, 0.9), (78.4, 0.9), (168.3, 2.8)
27:(18.9, 0.9), (78.4, 0.9), (168.3, 2.8)
