Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230706,23077,3,17,10,4,0,31,18,1,34,20,35,17,36,2,5,8,4,1,4,9,15
20230709,23078,5,14,15,5,0,32,16,2,37,25,38,22,33,2,6,5,11,1,2,2,1
20230709,400_1,4,15,10,2,0,29,18,1,35,20,35,16,35,2,5,6,5,1,3,9,14
20230709,400_2,4,14,10,2,0,30,17,1,33,22,34,18,31,2,4,6,7,1,3,9,13
20230709,400_3,8,13,8,1,0,30,16,1,32,23,34,18,31,2,3,8,6,1,2,7,12
20230709,400_4,15,8,3,0,2,32,14,0,27,24,30,20,22,3,2,9,9,1,1,5,4
20230709,400_5,15,8,3,0,3,32,14,0,29,26,31,21,23,3,1,9,9,1,1,5,5
20230709,600_1,2,17,9,3,0,30,17,2,32,20,32,17,34,1,5,7,4,1,4,11,13
20230709,600_2,1,17,10,4,0,30,16,2,30,22,30,18,29,1,4,9,4,2,4,11,12
20230709,600_3,4,14,8,2,1,30,15,2,31,22,31,17,31,2,5,6,5,2,3,9,11
20230709,600_4,7,11,6,1,1,32,13,1,29,24,27,17,23,2,2,7,7,4,3,6,11
20230709,600_5,11,8,3,0,1,31,15,1,33,26,32,18,28,3,3,6,7,4,2,4,10
20230709,1000_1,8,10,7,2,1,30,16,1,34,22,36,17,34,4,4,6,6,1,3,8,11
20230709,1000_2,4,12,8,2,1,33,13,1,32,23,33,17,29,3,3,6,7,2,3,7,12
20230709,1000_3,6,11,7,1,2,34,11,1,32,26,34,18,31,5,4,6,7,3,3,7,13
20230709,1000_4,5,12,7,2,2,35,10,1,30,26,31,18,27,4,4,5,8,3,3,6,12
20230709,1000_5,8,10,4,1,3,33,11,1,31,25,31,17,30,4,5,6,6,3,2,6,13
