bravo3.D1_4,bravo1.A3_13,bravo2.D3_6,bravo3.D2_1,bravo1.A4_9,bravo1.D4_1,bravo2.A1_4,bravo1.A2_3,bravo1.D3_11,bravo3.A2_4,bravo3.D3_5,bravo1.D3_15,bravo2.D4_10,bravo1.A2_2,bravo2.A5_6,bravo3.A5_6,bravo1.D4_5,bravo3.A3_7,bravo2.A2_4,bravo2.D1_5,bravo2.D2_3,bravo3.A2_5,bravo2.D3_11,bravo1.A3_14,bravo2.D3_3,bravo1.A2_9,bravo3.D2_8,bravo2.A3_2,bravo2.A5_2,bravo1.A5_3,bravo2.A3_9,bravo3.A3_2,bravo3.D3_8,bravo1.D2_6,bravo1.D4_3,bravo2.A3_5,bravo2.D2_10,bravo1.A2_10,bravo2.A1_9,bravo3.D4_3,bravo1.D3_16,bravo2.A2_1,bravo2.A6_2,bravo3.A1_4,bravo3.A1_6,bravo1.A3_6,bravo2.D5_2,bravo3.A3_6,bravo2.A4_6,bravo1.D4_16,bravo1.A1_2,bravo3.D5_3,bravo2.D4_1,bravo2.D4_2,bravo3.A2_8,bravo1.D5_1,bravo2.A3_6,bravo2.D6_4,bravo3.A4_1,bravo3.A4_4,bravo1.A1_6,bravo2.A5_8,bravo2.A6_6,bravo2.D1_1,bravo2.D5_7,bravo3.D4_4,bravo3.D5_7,bravo3.A1_1,bravo2.D6_7,bravo2.D3_1,bravo2.D5_4,bravo3.A3_13,bravo2.A1_2,bravo1.D5_5,bravo3.D4_1,bravo3.A1_5,bravo2.D2_6,bravo3.D1_2,bravo1.D4_7,bravo2.A4_1,bravo2.D2_4,bravo2.D3_7,bravo3.A6_2,bravo1.A4_2,bravo1.D1_6,bravo2.A4_2,bravo2.D2_1,bravo3.A5_3,bravo3.A5_8,bravo3.D3_3,bravo3.D5_2,bravo3.A5_1,bravo2.A1_1,bravo1.A4_6,bravo3.A1_2,bravo1.D2_2,bravo1.A2_15,bravo1.D3_20,bravo1.D3_12,bravo1.D3_14,bravo1.D4_18,bravo2.A2_5,bravo2.D4_3,bravo3.D1_1,bravo1.D2_12,bravo2.D4_5,bravo3.A4_7,bravo3.A4_15,bravo1.A3_16,bravo1.D3_6,bravo2.A1_6,bravo2.A2_9,bravo2.D1_7,bravo1.A6_2,bravo1.D2_3,bravo2.A4_5,bravo3.D3_2,bravo3.D3_10,bravo2.A3_13,bravo2.A4_10,bravo3.D2_2,bravo3.D3_1,bravo3.D6_3,bravo2.D4_8,bravo3.D4_9,bravo1.A5_4,bravo1.D2_11,bravo2.D1_4,bravo1.D4_2,bravo1.D5_3,bravo3.D2_10,bravo1.A2_12,bravo1.A5_12,bravo2.A2_7,bravo2.D1_6,bravo2.D3_10,bravo3.D2_4,bravo3.D2_6,bravo1.A3_1,bravo2.D1_3,bravo2.D3_4,bravo1.D2_1,bravo1.D4_19,bravo2.A2_8,bravo2.A3_10,bravo2.A4_8,bravo2.A5_3,bravo2.D2_2,bravo3.A4_10,bravo3.D3_13,bravo3.D4_5,bravo2.A5_1,bravo1.A1_1,bravo3.D2_7,bravo3.A3_5,bravo3.D5_8,bravo3.D6_6,bravo1.A2_8,bravo1.D3_1,bravo2.D1_8,bravo2.D2_12,bravo3.A2_3,bravo3.D2_3,bravo1.A3_4,bravo1.A4_1,bravo1.A4_19,bravo1.D1_5,bravo1.D5_9,bravo2.A4_11,bravo3.A2_1,bravo3.D3_7,bravo1.A3_5,bravo1.A4_3,bravo1.D2_8,bravo2.A2_6,bravo2.A5_5,bravo2.A6_4,bravo2.D3_2,bravo2.D4_6,bravo3.A4_9,bravo3.A5_5,bravo1.A5_1,bravo1.A3_8,bravo1.D3_8,bravo2.A3_8,bravo2.A3_7,bravo3.A3_15,bravo1.D5_6,bravo3.D6_2,bravo2.D5_10,bravo3.D4_7,bravo2.D2_9,bravo2.D3_8,bravo2.D5_1,bravo3.A2_9,bravo3.D4_8,bravo1.A3_24,bravo2.A1_10,bravo1.A3_12,bravo2.A2_10,bravo2.D2_7,bravo3.A3_11,bravo3.A5_2,bravo1.A4_7,bravo1.A4_11,bravo1.D3_23,bravo2.A4_4,bravo2.D4_4,bravo2.D4_12,bravo3.A3_12,bravo3.A6_4,bravo3.A3_8,bravo2.D5_3,bravo1.A3_11,bravo3.D3_4,bravo1.D2_15,bravo1.A4_24,bravo1.D4_9,bravo3.A2_12,bravo1.A1_4,bravo1.A3_23,bravo1.D4_14,bravo2.A3_3,bravo3.D4_2,bravo3.A3_9,bravo3.A5_4,bravo2.D4_7,bravo3.D5_6,bravo1.A6_1,bravo1.D4_17,bravo3.A4_5,bravo2.A3_14,bravo3.A4_11,bravo3.D4_6,bravo1.A3_7,bravo1.D5_2,bravo2.A1_7,bravo3.A6_6,bravo3.D4_12,bravo3.A6_3,bravo1.D2_5,bravo1.A3_17,bravo1.D2_7,bravo3.A4_6,bravo1.A3_2,bravo1.D1_3,bravo1.D3_5,bravo3.A1_3,bravo3.A3_3,bravo2.D6_8,bravo1.D3_13,bravo1.D5_4,bravo2.A5_13,bravo3.D5_1,bravo1.D1_2,bravo1.D3_2,bravo1.D3_25,bravo2.A6_1,bravo3.A6_1,bravo1.A5_7,bravo2.A2_14,bravo3.D5_10,bravo2.D3_5,bravo2.D3_14,bravo1.A5_8,bravo1.A5_6,bravo1.A4_23,bravo1.A4_5,bravo1.D2_4,bravo3.D1_8,bravo1.D2_9,bravo3.D6_5,bravo1.A3_18,bravo1.D2_13,bravo1.D5_8,bravo1.A2_4,bravo1.D6_1,bravo2.D2_8,bravo3.A3_4,bravo1.D5_10,bravo1.A4_15,bravo2.A2_13,bravo2.A3_12,bravo2.D6_6,bravo1.D2_16,bravo1.D2_18,bravo1.D4_10,bravo2.A5_7,bravo3.D6_4,bravo1.A2_14,bravo1.A2_21,bravo1.D3_7,bravo1.D3_22,bravo1.D4_20,bravo2.D6_1,bravo2.A6_3,bravo1.A2_13,bravo1.A4_13,bravo1.A4_16,bravo2.A2_11,bravo2.D3_13,bravo3.D2_11,bravo1.D2_21,bravo3.A2_7,bravo1.A3_26,bravo1.D1_1,bravo1.D3_3,bravo1.D5_12,bravo1.D6_3,bravo3.A5_11,bravo1.A3_20,bravo1.A4_4,bravo3.D3_6,bravo1.A1_11,bravo1.A2_6,bravo1.D6_2,bravo2.D5_11,bravo2.D6_5,bravo3.D1_5,bravo3.D3_14,bravo1.A3_9,bravo1.A3_19,bravo1.A3_21,bravo2.D2_13,bravo2.D5_5,bravo1.A1_3,bravo1.A3_3,bravo3.D1_6,bravo2.A1_5,bravo3.D1_3,bravo3.D4_10,bravo1.D3_18,bravo1.D4_23,bravo1.A1_7,bravo1.A4_14,bravo1.A5_13,bravo1.A5_16,bravo2.A1_3,bravo2.A3_15,bravo3.D3_15,bravo1.A3_25,bravo2.A4_12,bravo2.D4_15,bravo2.D5_9,bravo1.A4_20,bravo2.A2_3,bravo3.A3_1,bravo1.A1_5,bravo1.D3_24,bravo2.D3_15,bravo2.D5_6,bravo1.D3_9,bravo1.D3_21,bravo1.D4_4,bravo3.A4_2,bravo3.A4_3,bravo3.D6_1,bravo2.A1_8,bravo1.D1_8,bravo2.A3_11,bravo3.D2_9,bravo1.A2_7,bravo1.A3_10,bravo1.A4_12,bravo2.A5_9,bravo1.D3_4,bravo2.D1_9,bravo3.A2_2,bravo1.A4_10,bravo2.D2_5,bravo1.A4_8,bravo2.A6_5,bravo2.D1_2,bravo3.A2_10,bravo1.D2_10,bravo1.D3_10,bravo3.D3_12,bravo1.A5_2,bravo2.D1_12,bravo3.D1_7,bravo2.A3_1,bravo2.D2_11,bravo2.A4_9,bravo1.D4_22,bravo2.D3_16,bravo2.D4_13,bravo3.A4_12,bravo1.A2_18,bravo1.D3_17,bravo1.A2_17,bravo1.A3_15,bravo2.A4_14,bravo2.A6_7,bravo3.A4_8,bravo3.D2_5,bravo1.D1_11,bravo2.D3_12,bravo2.D5_12,bravo2.D6_3,bravo3.D2_12,bravo3.D4_11,bravo3.D1_9,bravo1.A2_5,bravo1.A5_11,bravo2.A4_15,bravo2.D4_14,bravo1.A2_16,bravo3.A3_10,bravo1.D4_6,bravo3.A2_11,bravo3.A6_5,bravo1.A4_22,bravo3.D5_4,bravo1.A2_11,bravo1.D1_7,bravo2.A3_4,bravo1.A5_10,bravo2.A4_7,bravo3.A4_14,bravo3.A5_10,bravo1.A2_1,bravo1.A4_21,bravo1.D2_17,bravo2.A4_13,bravo3.D4_13,bravo1.A4_17,bravo1.D3_19,bravo1.D4_15,bravo3.A3_14,bravo3.D5_5,bravo3.D5_12,bravo1.A2_19,bravo3.D4_14,bravo1.D3_27,bravo2.A2_2,bravo2.A3_16,bravo2.D2_14,bravo1.D1_12,bravo2.D4_9,bravo3.D3_11,bravo2.A5_4,bravo2.D5_8,bravo3.D5_9,bravo1.A1_9,bravo2.A6_8,bravo3.D5_11,bravo3.A1_7,bravo3.A2_14,bravo2.A5_10,bravo1.A5_5,bravo3.A2_6,bravo1.D5_7,bravo2.A2_12,bravo1.D4_21,bravo1.D4_12,bravo1.D5_11,bravo2.D6_2,bravo3.D3_9,bravo1.D4_13,bravo2.A4_16,bravo2.A5_12,bravo1.D1_4,bravo1.A2_20,bravo1.A5_15,bravo3.A4_13,bravo3.A6_7,bravo3.D6_7,bravo1.D4_11,bravo2.A2_17,bravo1.A1_8,bravo2.D5_14,bravo2.D4_11,bravo3.A1_8,bravo3.A5_9,bravo1.D5_15,bravo1.A6_3,bravo1.D1_9,bravo3.A1_9,bravo3.A5_7,bravo1.A6_4,bravo1.D2_14,bravo2.A1_11,bravo2.A4_3,bravo1.D4_26,bravo1.A3_22,bravo2.A1_13,bravo2.A4_17,bravo1.A4_26,bravo1.D6_4,bravo1.A5_9,bravo1.D4_27,bravo1.D4_25,bravo2.A3_17,bravo2.A6_9,bravo1.D1_10,bravo1.D5_17,bravo3.D3_17,bravo1.A4_25,bravo1.D4_8,bravo1.D5_16,bravo2.A6_10,bravo1.A5_14,bravo3.D4_15,bravo2.D3_17,bravo1.D3_26,bravo1.A5_17,bravo1.D3_28,bravo3.A3_16,bravo1.A1_10,bravo1.D4_24,bravo3.A6_8,bravo1.A4_18,bravo2.D6_10,bravo3.D3_16,bravo2.D1_10,bravo2.A1_12,bravo3.A5_12,bravo3.A2_13,bravo1.D2_22,bravo1.D5_14,bravo2.D6_9,bravo1.D2_19,bravo2.D1_13,bravo3.D6_8,bravo1.D5_19,bravo2.A2_16,bravo1.A3_27,bravo2.A5_11,bravo1.D6_6,bravo1.A1_12,bravo3.D4_16,bravo1.D1_13,bravo3.D2_13,bravo1.D2_20,bravo2.D1_11,bravo1.A6_6,bravo1.A3_28,bravo3.D2_14,bravo3.D1_10,bravo2.D2_15,bravo2.D5_13,bravo2.D6_12,bravo2.D3_9,bravo3.D3_18,bravo2.A2_15,bravo3.A3_17,bravo2.D3_18,bravo1.D6_5,bravo3.D5_13,bravo1.A5_18,bravo3.A6_9,bravo1.A4_27,bravo3.A4_16,bravo1.A6_5,bravo3.D4_17,bravo1.D5_13,bravo2.D1_15,bravo2.D4_16,bravo2.A5_14,bravo1.A5_19,bravo1.D5_18,bravo1.A6_7,bravo2.D2_16,bravo2.D1_14,bravo3.A1_10,bravo1.D6_8,bravo2.D2_17,bravo1.A2_22,bravo1.A6_8,bravo2.D4_17,bravo2.D1_16,bravo1.D6_10,bravo3.A5_13,bravo2.A3_18,bravo3.A4_17,bravo3.A4_18,bravo2.A6_11,bravo2.A1_15,bravo2.D6_11,bravo3.D6_9,bravo1.D1_14,bravo2.A6_12,bravo1.A4_28,bravo1.A5_20,bravo1.D5_20,bravo2.A3_19,bravo2.D5_15,bravo1.A1_13,bravo2.A1_14,bravo2.A4_18,bravo1.A1_15,bravo2.D3_19,bravo2.A2_18,bravo3.A2_15,bravo1.D1_15,bravo2.D4_18,bravo1.A6_10,bravo2.A5_17,bravo2.A5_18,bravo3.A3_18,bravo1.D6_7,bravo1.A1_14,bravo2.D2_18,bravo2.D5_18,bravo2.D5_16,bravo2.A5_15,bravo2.D5_17,bravo2.D6_14,bravo3.A3_20,bravo2.A6_13,bravo1.A6_11,bravo2.D4_19,bravo3.A4_19,bravo1.D6_11,bravo1.D5_21,bravo3.D2_15,bravo1.A6_9,bravo3.A1_11,bravo2.A5_16,bravo2.D2_19,bravo3.A3_19,bravo3.D3_19,bravo1.D6_12,bravo2.A1_17,bravo3.D4_18,bravo3.D5_14,bravo3.D6_10,bravo3.A2_16,bravo1.A5_21,bravo1.D6_9,bravo2.A4_19,bravo2.A4_20,bravo3.D4_19,bravo1.D4_28,bravo2.A1_16,bravo2.D6_13,bravo1.A6_12,bravo2.A3_20,bravo3.A5_14,bravo3.D5_15,bravo1.D2_23,bravo1.D1_16,bravo2.D1_17,bravo3.A6_10,bravo2.A6_14,bravo1.A5_22,bravo3.A5_15,bravo2.A2_19,bravo2.D3_20,bravo1.D5_22,bravo1.D6_13,bravo3.D1_11,bravo3.A1_12,bravo3.D6_11,bravo3.A4_21,bravo2.D2_20,bravo3.A6_11,bravo1.A1_16,bravo2.D6_15,bravo2.D1_18,bravo3.D3_20,bravo1.D6_14,bravo1.A1_17,bravo3.D1_12,bravo1.A2_23,bravo2.A6_15,bravo3.D4_20,bravo2.A6_17,bravo2.A3_21,bravo2.D4_20,bravo1.D6_15,bravo2.D4_21,bravo3.D4_21,bravo2.D2_21,bravo2.A4_21,bravo3.A5_16,bravo2.A1_19,bravo3.D5_16,bravo1.A6_15,bravo1.D1_17,bravo2.A2_20,bravo2.A2_21,bravo2.A5_19,bravo1.A6_14,bravo2.D1_19,bravo3.D2_16,bravo1.D2_24,bravo3.D5_17,bravo2.A5_20,bravo2.A3_22,bravo3.D1_13,bravo1.A6_13,bravo3.A3_21,bravo2.D5_19,bravo2.D6_17,bravo2.A1_21,bravo2.D6_16,bravo2.A5_21,bravo3.A4_20,bravo3.A5_18,bravo1.A6_16,bravo2.D4_22,bravo2.A6_16,bravo2.D6_18,bravo3.A5_17,bravo3.D2_17,bravo2.D5_22,bravo2.D6_19,bravo3.A3_22,bravo2.A1_20,bravo2.D1_21,bravo2.A6_20,bravo2.D6_20,bravo3.D5_18,bravo3.A1_13,bravo3.A6_13,bravo3.D6_12,bravo1.D1_18,bravo2.D3_22,bravo3.D3_21,bravo1.A2_24,bravo2.A1_18,bravo2.D6_21
0,1,0,0,3,2,1,0,4,0,4,1,0,6,4,1,0,0,13,9,8,7,5,4,3,2,2,1,1,0,0,0,0,6,4,4,4,3,3,3,1,1,1,1,1,0,0,16,11,8,7,6,5,3,2,1,1,1,1,1,0,0,0,0,0,0,0,19,12,10,10,10,9,6,6,4,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,26,19,9,9,6,5,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,14,11,9,7,5,4,4,4,3,3,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,26,19,19,4,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,21,15,15,10,7,7,5,5,4,4,3,3,3,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,22,17,9,9,8,7,7,7,6,6,6,5,5,4,4,3,3,2,2,2,1,1,1,0,0,0,0,0,19,15,12,12,11,9,8,7,6,5,4,3,3,3,3,2,2,2,2,2,1,1,1,0,0,28,20,18,14,11,9,8,8,7,6,6,5,5,5,5,4,3,3,3,3,2,2,2,1,1,0,0,0,0,0,0,19,10,10,8,8,7,7,5,5,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,24,18,13,11,11,11,9,9,8,7,6,6,6,6,6,5,5,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,16,15,11,11,9,8,8,8,7,7,7,5,5,3,3,3,3,2,2,2,1,1,1,0,0,15,13,11,9,8,6,6,4,4,4,4,4,3,1,1,1,0,0,0,27,14,13,13,13,12,11,9,8,7,6,6,5,5,5,4,4,3,3,1,1,1,1,1,0,0,0,0,0,27,20,11,9,7,7,7,6,6,5,4,4,3,2,1,1,0,0,23,18,16,12,12,8,5,5,5,4,3,3,3,2,1,1,1,1,1,0,0,23,18,14,12,6,5,4,4,4,4,3,3,3,3,23,10,10,6,5,5,3,3,1,1,1,29,18,15,13,12,11,9,8,8,6,5,3,3,3,2,1,1,0,14,11,9,8,6,4,1,1,1,0,0,24,10,10,9,9,4,2,1,35,29,28,24,8,3,1,25,24,11,10,4,3,15,15,13,10,10,8,8,6,6,5,3,1,1,1,14,6,3,52,38,19,14,8,7,6,5,3,44,19,17,14,13,10,6,3,1,1,19,6,5,14,13,13,10,8,6,6,3,1,0,0,46,24,14,14,6,14,9,6,30,29,26,25,25,25,10,9,8,6,52,36,25,24,14,14,10,6,1,1,57,48,31,25,19,18,13,10,10,10,6,5,29,26,14,10,6,87,48,44,29,26,22,10,10,49,29,27,25,19,18,10,6,1,82,72,53,48,29,26,19,19,14,14,14,10,6,80,53,52,52,29,14,10,0,175,107,98,98,92,87,76,69,61,58,55,52,50,44,33,29,14,10,196,177,138,138,138,107,107,76,67,61,61,55,55,50,48,48,33,33,29,25,25,25,19,6,6,4,1,-1
6,0,1,0,2,1,0,1,3,3,3,0,3,5,3,0,0,0,12,8,7,6,4,3,2,1,1,0,0,0,0,0,2,5,3,3,3,2,2,2,0,0,0,0,0,5,2,15,10,7,6,5,4,2,1,0,0,0,0,0,3,0,2,0,0,0,0,18,11,9,9,9,8,5,5,3,1,1,0,0,0,0,0,0,3,3,3,0,0,2,2,25,18,8,8,5,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,2,4,7,9,0,13,10,8,6,4,3,3,3,2,2,2,2,2,2,2,1,1,0,3,2,3,2,10,0,3,2,6,9,25,18,18,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,2,3,15,2,0,5,0,6,6,20,14,14,9,6,6,4,4,3,3,2,2,2,2,2,1,1,0,0,0,0,0,7,0,4,12,0,0,3,0,21,16,8,8,7,6,6,6,5,5,5,4,4,3,3,2,2,1,1,1,0,0,0,0,5,0,4,8,18,14,11,11,10,8,7,6,5,4,3,2,2,2,2,1,1,1,1,1,0,0,0,13,1,27,19,17,13,10,8,7,7,6,5,5,4,4,4,4,3,2,2,2,2,1,1,1,0,0,5,2,9,3,2,8,18,9,9,7,7,6,6,4,4,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,7,8,14,5,8,23,17,12,10,10,10,8,8,7,6,5,5,5,5,5,4,4,2,2,1,1,1,0,0,0,0,9,0,1,3,5,3,15,14,10,10,8,7,7,7,6,6,6,4,4,2,2,2,2,1,1,1,0,0,0,1,0,14,12,10,8,7,5,5,3,3,3,3,3,2,0,0,0,3,31,2,26,13,12,12,12,11,10,8,7,6,5,5,4,4,4,3,3,2,2,0,0,0,0,0,1,7,0,0,0,26,19,10,8,6,6,6,5,5,4,3,3,2,1,0,0,1,0,22,17,15,11,11,7,4,4,4,3,2,2,2,1,0,0,0,0,0,10,0,22,17,13,11,5,4,3,3,3,3,2,2,2,2,22,9,9,5,4,4,2,2,0,0,0,28,17,14,12,11,10,8,7,7,5,4,2,2,2,1,0,0,12,13,10,8,7,5,3,0,0,0,13,5,23,9,9,8,8,3,1,0,34,28,27,23,7,2,0,24,23,10,9,3,2,14,14,12,9,9,7,7,5,5,4,2,0,0,0,13,5,2,51,37,18,13,7,6,5,4,2,43,18,16,13,12,9,5,2,0,0,18,5,4,13,12,12,9,7,5,5,2,0,5,19,45,23,13,13,5,13,8,5,29,28,25,24,24,24,9,8,7,5,51,35,24,23,13,13,9,5,0,0,56,47,30,24,18,17,12,9,9,9,5,4,28,25,13,9,5,86,47,43,28,25,21,9,9,48,28,26,24,18,17,9,5,0,81,71,52,47,28,25,18,18,13,13,13,9,5,79,52,51,51,28,13,9,48,174,106,97,97,91,86,75,68,60,57,54,51,49,43,32,28,13,9,195,176,137,137,137,106,106,75,66,60,60,54,54,49,47,47,32,32,28,24,24,24,18,5,5,3,0,-1
5,1,0,2,1,0,11,0,2,2,2,8,2,4,2,1,8,0,11,7,6,5,3,2,1,0,0,9,2,1,0,9,1,4,2,2,2,1,1,1,1,4,2,11,5,4,1,14,9,6,5,4,3,1,0,8,2,2,1,10,2,9,1,5,4,0,6,17,10,8,8,8,7,4,4,2,0,0,1,1,6,1,2,2,2,2,2,1,6,1,1,24,17,7,7,4,3,3,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,19,1,0,2,3,1,3,6,8,3,12,9,7,5,3,2,2,2,1,1,1,1,1,1,1,0,0,5,2,1,2,1,9,1,2,1,5,8,24,17,17,2,2,2,1,1,1,0,0,0,1,1,2,0,1,1,4,2,0,1,2,14,1,10,4,4,5,5,19,13,13,8,5,5,3,3,2,2,1,1,1,1,1,0,0,2,1,2,1,14,6,0,3,11,0,3,2,1,20,15,7,7,6,5,5,5,4,4,4,3,3,2,2,1,1,0,0,0,8,4,4,3,4,7,3,7,17,13,10,10,9,7,6,5,4,3,2,1,1,1,1,0,0,0,0,0,1,2,6,12,0,26,18,16,12,9,7,6,6,5,4,4,3,3,3,3,2,1,1,1,1,0,0,0,4,0,4,1,8,2,1,7,17,8,8,6,6,5,5,3,3,1,1,1,1,1,1,0,0,0,1,10,0,1,0,2,8,6,7,13,4,7,22,16,11,9,9,9,7,7,6,5,4,4,4,4,4,3,3,1,1,0,0,0,3,9,9,3,8,0,0,2,4,2,14,13,9,9,7,6,6,6,5,5,5,3,3,1,1,1,1,0,0,0,11,22,4,0,17,13,11,9,7,6,4,4,2,2,2,2,2,1,23,3,2,2,30,1,25,12,11,11,11,10,9,7,6,5,4,4,3,3,3,2,2,1,1,0,1,2,1,2,0,6,10,4,2,25,18,9,7,5,5,5,4,4,3,2,2,1,0,17,14,0,4,21,16,14,10,10,6,3,3,3,2,1,1,1,0,5,5,6,2,8,9,16,21,16,12,10,4,3,2,2,2,2,1,1,1,1,21,8,8,4,3,3,1,1,1,1,4,27,16,13,11,10,9,7,6,6,4,3,1,1,1,0,16,16,11,12,9,7,6,4,2,2,1,16,12,4,22,8,8,7,7,2,0,16,33,27,26,22,6,1,4,23,22,9,8,2,1,13,13,11,8,8,6,6,4,4,3,1,6,17,9,12,4,1,50,36,17,12,6,5,4,3,1,42,17,15,12,11,8,4,1,28,15,17,4,3,12,11,11,8,6,4,4,1,1,4,18,44,22,12,12,4,12,7,4,28,27,24,23,23,23,8,7,6,4,50,34,23,22,12,12,8,4,4,16,55,46,29,23,17,16,11,8,8,8,4,3,27,24,12,8,4,85,46,42,27,24,20,8,8,47,27,25,23,17,16,8,4,56,80,70,51,46,27,24,17,17,12,12,12,8,4,78,51,50,50,27,12,8,47,173,105,96,96,90,85,74,67,59,56,53,50,48,42,31,27,12,8,194,175,136,136,136,105,105,74,65,59,59,53,53,48,46,46,31,31,27,23,23,23,17,4,4,2,292,-1
4,0,1,1,0,2,10,1,1,1,1,7,1,3,1,0,7,0,10,6,5,4,2,1,0,1,3,8,1,0,1,8,0,3,1,1,1,0,0,0,0,3,1,10,4,3,0,13,8,5,4,3,2,0,0,7,1,1,0,9,1,8,0,4,3,0,5,16,9,7,7,7,6,3,3,1,0,8,0,0,5,0,1,1,1,1,1,0,5,0,0,23,16,6,6,3,2,2,1,1,1,1,1,1,0,0,0,0,0,3,1,4,2,18,0,9,1,2,0,2,5,7,2,11,8,6,4,2,1,1,1,0,0,0,0,0,0,0,0,2,4,1,0,1,0,8,0,1,0,4,7,23,16,16,1,1,1,0,0,0,0,2,5,0,0,1,0,0,0,3,1,12,0,1,13,0,9,3,3,4,4,18,12,12,7,4,4,2,2,1,1,0,0,0,0,0,4,1,1,0,1,0,13,5,3,2,10,1,2,1,0,19,14,6,6,5,4,4,4,3,3,3,2,2,1,1,0,0,7,7,16,7,3,3,2,3,6,2,6,16,12,9,9,8,6,5,4,3,2,1,0,0,0,0,3,2,0,7,7,0,1,5,11,8,25,17,15,11,8,6,5,5,4,3,3,2,2,2,2,1,0,0,0,0,0,4,10,3,0,3,0,7,1,0,6,16,7,7,5,5,4,4,2,2,0,0,0,0,0,0,7,1,7,0,9,11,0,0,1,7,5,6,12,3,6,21,15,10,8,8,8,6,6,5,4,3,3,3,3,3,2,2,0,0,1,2,0,2,8,8,2,7,12,4,1,3,1,13,12,8,8,6,5,5,5,4,4,4,2,2,0,0,0,0,2,6,0,10,21,3,0,16,12,10,8,6,5,3,3,1,1,1,1,1,0,22,2,1,1,29,0,24,11,10,10,10,9,8,6,5,4,3,3,2,2,2,1,1,0,0,6,0,1,0,1,2,5,9,3,1,24,17,8,6,4,4,4,3,3,2,1,1,0,1,16,13,2,3,20,15,13,9,9,5,2,2,2,1,0,0,0,11,4,4,5,1,7,8,15,20,15,11,9,3,2,1,1,1,1,0,0,0,0,20,7,7,3,2,2,0,0,0,0,3,26,15,12,10,9,8,6,5,5,3,2,0,0,0,5,15,15,10,11,8,6,5,3,1,1,0,15,11,3,21,7,7,6,6,1,15,15,32,26,25,21,5,0,3,22,21,8,7,1,0,12,12,10,7,7,5,5,3,3,2,0,5,16,8,11,3,0,49,35,16,11,5,4,3,2,0,41,16,14,11,10,7,3,0,27,14,16,3,2,11,10,10,7,5,3,3,0,0,3,17,43,21,11,11,3,11,6,3,27,26,23,22,22,22,7,6,5,3,49,33,22,21,11,11,7,3,3,15,54,45,28,22,16,15,10,7,7,7,3,2,26,23,11,7,3,84,45,41,26,23,19,7,7,46,26,24,22,16,15,7,3,55,79,69,50,45,26,23,16,16,11,11,11,7,3,77,50,49,49,26,11,7,46,172,104,95,95,89,84,73,66,58,55,52,49,47,41,30,26,11,7,193,174,135,135,135,104,104,73,64,58,58,52,52,47,45,45,30,30,26,22,22,22,16,3,3,1,291,-1
