row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
12_1,4,8,13,15,24,29,93,33,25,32,16,28,4,5,2,9,5,
12_2,3,8,14,16,26,29,96,32,26,34,18,30,5,6,2,10,3,
12_3,3,9,14,18,25,28,97,31,25,34,16,32,6,5,4,7,3,
12_4,4,9,15,19,24,28,99,32,24,33,15,34,5,6,4,5,4,
12_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
12_6,2,6,8,10,18,29,73,31,27,24,12,18,4,2,2,8,11,
12_7,1,6,7,11,22,30,77,31,29,28,16,18,5,1,4,11,8,
12_8,2,5,9,13,22,30,81,32,28,27,17,22,3,4,4,9,8,
12_9,2,6,9,15,22,29,83,31,27,28,16,24,4,3,6,7,7,
12_10,3,8,14,17,23,29,94,32,26,31,15,31,5,6,3,6,6,
13_1,4,6,9,12,21,28,80,32,24,27,15,21,2,3,3,9,7,
13_2,4,9,13,16,27,30,99,34,26,36,18,29,5,4,3,11,3,
13_3,3,8,14,19,26,29,99,32,26,34,18,33,5,6,5,7,3,
13_4,5,9,15,20,24,28,101,33,23,33,15,35,4,6,5,4,4,
13_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
13_6,4,6,11,16,25,32,94,36,28,31,19,27,2,5,5,9,7,
13_7,3,8,12,18,26,33,100,36,30,34,18,30,5,4,6,8,7,
13_8,4,10,11,17,24,32,98,36,28,34,14,28,6,1,6,7,8,
13_9,2,8,12,19,22,31,94,33,29,30,14,31,6,4,7,3,9,
13_10,3,10,13,19,25,31,101,34,28,35,15,32,7,3,6,6,6,
14_1,5,9,13,17,24,28,96,33,23,33,15,30,4,4,4,7,4,
14_2,2,6,13,17,27,30,95,32,28,33,21,30,4,7,4,10,3,
14_3,3,8,14,18,25,29,97,32,26,33,17,32,5,6,4,7,4,
14_4,5,10,14,19,24,28,100,33,23,34,14,33,5,4,5,5,4,
14_5,5,9,13,18,23,28,96,33,23,32,14,31,4,4,5,5,5,
14_6,6,8,13,19,27,31,104,37,25,35,19,32,2,5,6,8,4,
14_7,4,7,11,17,26,30,95,34,26,33,19,28,3,4,6,9,4,
14_8,2,7,10,17,25,30,91,32,28,32,18,27,5,3,7,8,5,
14_9,4,8,12,18,24,29,95,33,25,32,16,30,4,4,6,6,5,
14_10,4,8,13,19,26,30,100,34,26,34,18,32,4,5,6,7,4,
15_1,4,5,11,16,27,29,92,33,25,32,22,27,1,6,5,11,2,
15_2,3,5,10,15,26,28,87,31,25,31,21,25,2,5,5,11,2,
15_3,5,11,16,21,26,30,109,35,25,37,15,37,6,5,5,5,4,
15_4,5,10,15,20,24,29,103,34,24,34,14,35,5,5,5,4,5,
15_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
15_6,2,6,8,13,22,31,82,33,29,28,16,21,4,2,5,9,9,
15_7,2,7,9,13,22,30,83,32,28,29,15,22,5,2,4,9,8,
15_8,2,8,9,15,22,29,85,31,27,30,14,24,6,1,6,7,7,
15_9,2,6,12,16,22,29,87,31,27,28,16,28,4,6,4,6,7,
15_10,5,9,16,19,23,29,101,34,24,32,14,35,4,7,3,4,6,
16_1,4,7,11,19,24,29,94,33,25,31,17,30,3,4,8,5,5,
16_2,4,5,11,17,26,29,92,33,25,31,21,28,1,6,6,9,3,
16_3,5,8,14,18,24,29,98,34,24,32,16,32,3,6,4,6,5,
16_4,5,9,14,20,24,28,100,33,23,33,15,34,4,5,6,4,4,
16_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
16_6,2,9,12,16,26,29,94,31,27,35,17,28,7,3,4,10,3,
16_7,2,6,13,16,23,29,89,31,27,29,17,29,4,7,3,7,6,
16_8,3,8,12,15,23,29,90,32,26,31,15,27,5,4,3,8,6,
16_9,2,9,14,17,22,29,93,31,27,31,13,31,7,5,3,5,7,
16_10,2,6,11,17,23,28,87,30,26,29,17,28,4,5,6,6,5,
17_1,6,9,11,14,22,23,85,29,17,31,13,25,3,2,3,8,1,
17_2,5,8,10,13,23,26,85,31,21,31,15,23,3,2,3,10,3,
17_3,4,8,12,16,24,28,92,32,24,32,16,28,4,4,4,8,4,
17_4,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
17_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
17_6,3,6,9,14,24,30,86,33,27,30,18,23,3,3,5,10,6,
17_7,2,6,8,14,23,30,83,32,28,29,17,22,4,2,6,9,7,
17_8,3,8,9,16,23,29,88,32,26,31,15,25,5,1,7,7,6,
17_9,3,8,11,15,22,30,89,33,27,30,14,26,5,3,4,7,8,
17_10,4,9,12,16,24,30,95,34,26,33,15,28,5,3,4,8,6,
18_1,4,7,9,15,24,30,89,34,26,31,17,24,3,2,6,9,6,
18_2,3,8,11,15,25,29,91,32,26,33,17,26,5,3,4,10,4,
18_3,4,10,15,18,25,29,101,33,25,35,15,33,6,5,3,7,4,
18_4,5,9,14,18,24,28,98,33,23,33,15,32,4,5,4,6,4,
18_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
18_6,3,7,12,17,27,29,95,32,26,34,20,29,4,5,5,10,2,
18_7,3,9,14,19,27,30,102,33,27,36,18,33,6,5,5,8,3,
18_8,3,8,14,19,26,30,100,33,27,34,18,33,5,6,5,7,4,
18_9,2,7,12,18,26,31,96,33,29,33,19,30,5,5,6,8,5,
18_10,2,9,13,18,25,31,98,33,29,34,16,31,7,4,5,7,6,
19_1,5,10,15,19,27,30,106,35,25,37,17,34,5,5,4,8,3,
19_2,3,6,12,18,28,30,97,33,27,34,22,30,3,6,6,10,2,
19_3,3,7,13,18,24,29,94,32,26,31,17,31,4,6,5,6,5,
19_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,
19_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
19_6,3,9,11,12,23,32,90,35,29,32,14,23,6,2,1,11,9,
19_7,3,7,11,11,23,32,87,35,29,30,16,22,4,4,0,12,9,
19_8,3,6,10,14,26,31,90,34,28,32,20,24,3,4,4,12,5,
19_9,3,7,12,16,24,30,92,33,27,31,17,28,4,5,4,8,6,
19_10,4,9,15,18,26,31,103,35,27,35,17,33,5,6,3,8,5,
20_1,2,6,10,14,23,27,82,29,25,29,17,24,4,4,4,9,4,
20_2,2,5,8,10,22,28,75,30,26,27,17,18,3,3,2,12,6,
20_3,4,7,12,17,22,28,90,32,24,29,15,29,3,5,5,5,6,
20_4,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
20_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
20_6,2,10,16,18,24,31,101,33,29,34,14,34,8,6,2,6,7,
20_7,2,9,17,18,24,30,100,32,28,33,15,35,7,8,1,6,6,
20_8,3,9,13,15,22,30,92,33,27,31,13,28,6,4,2,7,8,
20_9,2,5,13,16,20,30,86,32,28,25,15,29,3,8,3,4,10,
20_10,4,7,14,17,22,29,93,33,25,29,15,31,3,7,3,5,7,
21_1,4,9,11,17,25,28,94,32,24,34,16,28,5,2,6,8,3,
21_2,3,6,11,14,24,28,86,31,25,30,18,25,3,5,3,10,4,
21_3,4,8,14,18,24,29,97,33,25,32,16,32,4,6,4,6,5,
21_4,5,9,15,19,24,28,100,33,23,33,15,34,4,6,4,5,4,
21_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
21_6,5,8,10,11,19,28,81,33,23,27,11,21,3,2,1,8,9,
21_7,3,9,11,12,20,28,83,31,25,29,11,23,6,2,1,8,8,
21_8,1,7,9,12,21,30,80,31,29,28,14,21,6,2,3,9,9,
21_9,2,7,10,16,23,31,89,33,29,30,16,26,5,3,6,7,8,
21_10,4,8,15,18,26,29,100,33,25,34,18,33,4,7,3,8,3,
22_1,4,7,13,20,28,29,101,33,25,35,21,33,3,6,7,8,1,
22_2,3,5,8,13,21,26,76,29,23,26,16,21,2,3,5,8,5,
22_3,5,8,13,18,23,29,96,34,24,31,15,31,3,5,5,5,6,
22_4,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
22_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
22_6,3,10,13,17,26,31,100,34,28,36,16,30,7,3,4,9,5,
22_7,4,10,14,18,26,30,102,34,26,36,16,32,6,4,4,8,4,
22_8,3,5,11,15,26,31,91,34,28,31,21,26,2,6,4,11,5,
22_9,3,6,13,18,24,28,92,31,25,30,18,31,3,7,5,6,4,
22_10,3,7,14,18,25,29,96,32,26,32,18,32,4,7,4,7,4,
23_1,3,8,11,17,24,26,89,29,23,32,16,28,5,3,6,7,2,
23_2,3,6,9,14,24,27,83,30,24,30,18,23,3,3,5,10,3,
23_3,4,9,15,20,26,30,104,34,26,35,17,35,5,6,5,6,4,
23_4,4,9,15,19,24,28,99,32,24,33,15,34,5,6,4,5,4,
23_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
23_6,3,9,12,16,22,29,91,32,26,31,13,28,6,3,4,6,7,
23_7,2,10,13,18,24,29,96,31,27,34,14,31,8,3,5,6,5,
23_8,1,10,14,19,27,31,102,32,30,37,17,33,9,4,5,8,4,
23_9,3,8,12,16,23,28,90,31,25,31,15,28,5,4,4,7,5,
23_10,4,10,14,18,25,28,99,32,24,35,15,32,6,4,4,7,3,
24_1,6,8,14,21,25,28,102,34,22,33,17,35,2,6,7,4,3,
24_2,5,8,15,20,25,28,101,33,23,33,17,35,3,7,5,5,3,
24_3,5,10,15,20,25,29,104,34,24,35,15,35,5,5,5,5,4,
24_4,6,10,14,20,24,28,102,34,22,34,14,34,4,4,6,4,4,
24_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
24_6,3,8,9,17,24,32,93,35,29,32,16,26,5,1,8,7,8,
24_7,3,10,11,19,24,32,99,35,29,34,14,30,7,1,8,5,8,
24_8,4,8,10,17,23,33,95,37,29,31,15,27,4,2,7,6,10,
24_9,2,9,13,19,23,32,98,34,30,32,14,32,7,4,6,4,9,
24_10,3,9,13,20,24,31,100,34,28,33,15,33,6,4,7,4,7,
25_1,2,6,7,10,24,28,77,30,26,30,18,17,4,1,3,14,4,
25_2,2,4,9,12,25,27,79,29,25,29,21,21,2,5,3,13,2,
25_3,3,7,13,17,24,27,91,30,24,31,17,30,4,6,4,7,3,
25_4,5,9,15,19,24,28,100,33,23,33,15,34,4,6,4,5,4,
25_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
25_6,4,8,13,18,23,29,95,33,25,31,15,31,4,5,5,5,6,
25_7,1,7,16,18,23,29,94,30,28,30,16,34,6,9,2,5,6,
25_8,1,6,11,17,24,30,89,31,29,30,18,28,5,5,6,7,6,
25_9,4,8,15,16,20,28,91,32,24,28,12,31,4,7,1,4,8,
25_10,5,10,15,18,23,30,101,35,25,33,13,33,5,5,3,5,7,
26_1,5,7,12,20,26,30,100,35,25,33,19,32,2,5,8,6,4,
26_2,3,5,10,15,24,28,85,31,25,29,19,25,2,5,5,9,4,
26_3,6,10,16,20,25,30,107,36,24,35,15,36,4,6,4,5,5,
26_4,4,9,15,19,24,28,99,32,24,33,15,34,5,6,4,5,4,
26_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
26_6,7,12,14,17,26,31,107,38,24,38,14,31,5,2,3,9,5,
26_7,4,11,13,17,24,31,100,35,27,35,13,30,7,2,4,7,7,
26_8,3,7,9,15,24,29,87,32,26,31,17,24,4,2,6,9,5,
26_9,2,9,15,18,23,29,96,31,27,32,14,33,7,6,3,5,6,
26_10,3,10,15,19,25,30,102,33,27,35,15,34,7,5,4,6,5,
27_1,6,8,11,15,19,29,88,35,23,27,11,26,2,3,4,4,10,
27_2,3,8,11,15,23,28,88,31,25,31,15,26,5,3,4,8,5,
27_3,4,9,13,18,25,29,98,33,25,34,16,31,5,4,5,7,4,
27_4,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
27_5,4,9,14,18,24,28,97,32,24,33,15,32,5,5,4,6,4,
27_6,3,5,9,11,22,29,79,32,26,27,17,20,2,4,2,11,7,
27_7,3,6,10,14,22,29,84,32,26,28,16,24,3,4,4,8,7,
27_8,2,6,11,13,22,30,84,32,28,28,16,24,4,5,2,9,8,
27_9,3,8,15,19,23,30,98,33,27,31,15,34,5,7,4,4,7,
27_10,4,6,15,18,24,29,96,33,25,30,18,33,2,9,3,6,5,
28_1,2,6,10,13,24,28,83,30,26,30,18,23,4,4,3,11,4,
28_2,3,6,11,13,24,27,84,30,24,30,18,24,3,5,2,11,3,
28_3,3,8,14,18,25,28,96,31,25,33,17,32,5,6,4,7,3,
28_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,
28_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
28_6,4,8,13,15,21,30,91,34,26,29,13,28,4,5,2,6,9,
28_7,4,8,13,17,24,31,97,35,27,32,16,30,4,5,4,7,7,
28_8,3,8,12,20,24,31,98,34,28,32,16,32,5,4,8,4,7,
28_9,4,6,11,20,25,30,96,34,26,31,19,31,2,5,9,5,5,
28_10,4,7,14,19,24,31,99,35,27,31,17,33,3,7,5,5,7,
29_1,4,9,12,15,26,27,93,31,23,35,17,27,5,3,3,11,1,
29_2,4,8,12,14,24,27,89,31,23,32,16,26,4,4,2,10,3,
29_3,5,9,13,17,24,29,97,34,24,33,15,30,4,4,4,7,5,
29_4,4,8,13,18,23,27,93,31,23,31,15,31,4,5,5,5,4,
29_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
29_6,6,6,11,13,19,28,83,34,22,25,13,24,0,5,2,6,9,
29_7,5,7,12,15,19,29,87,34,24,26,12,27,2,5,3,4,10,
29_8,5,7,10,13,19,31,85,36,26,26,12,23,2,3,3,6,12,
29_9,6,10,16,21,22,31,106,37,25,32,12,37,4,6,5,1,9,
29_10,6,12,17,22,25,31,113,37,25,37,13,39,6,5,5,3,6,
30_1,7,8,15,23,27,29,109,36,22,35,19,38,1,7,8,4,2,
30_2,5,7,11,18,25,28,94,33,23,32,18,29,2,4,7,7,3,
30_3,5,8,12,16,24,28,93,33,23,32,16,28,3,4,4,8,4,
30_4,5,9,14,19,24,27,98,32,22,33,15,33,4,5,5,5,3,
30_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
30_6,4,10,11,12,24,32,93,36,28,34,14,23,6,1,1,12,8,
30_7,3,10,12,14,24,32,95,35,29,34,14,26,7,2,2,10,8,
30_8,2,8,10,13,25,32,90,34,30,33,17,23,6,2,3,12,7,
30_9,2,9,15,22,26,31,105,33,29,35,17,37,7,6,7,4,5,
30_10,3,10,16,21,25,31,106,34,28,35,15,37,7,6,5,4,6,
31_1,4,6,9,15,22,29,85,33,25,28,16,24,2,3,6,7,7,
31_2,4,7,12,16,26,29,94,33,25,33,19,28,3,5,4,10,3,
31_3,5,8,15,18,25,30,101,35,25,33,17,33,3,7,3,7,5,
31_4,5,9,15,19,24,28,100,33,23,33,15,34,4,6,4,5,4,
31_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
31_6,2,9,12,14,26,28,91,30,26,35,17,26,7,3,2,12,2,
31_7,2,7,11,15,24,30,89,32,28,31,17,26,5,4,4,9,6,
31_8,1,6,10,16,25,31,89,32,30,31,19,26,5,4,6,9,6,
31_9,1,7,11,17,23,31,90,32,30,30,16,28,6,4,6,6,8,
31_10,2,8,15,19,24,30,98,32,28,32,16,34,6,7,4,5,6,
32_1,5,9,12,17,25,28,96,33,23,34,16,29,4,3,5,8,3,
32_2,4,7,10,14,25,29,89,33,25,32,18,24,3,3,4,11,4,
32_3,3,7,10,15,23,28,86,31,25,30,16,25,4,3,5,8,5,
32_4,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
32_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
32_6,5,11,13,15,20,32,96,37,27,31,9,28,6,2,2,5,12,
32_7,4,12,12,15,21,32,96,36,28,33,9,27,8,0,3,6,11,
32_8,3,7,9,12,21,32,84,35,29,28,14,21,4,2,3,9,11,
32_9,3,6,14,19,25,29,96,32,26,31,19,33,3,8,5,6,4,
32_10,3,7,14,19,26,29,98,32,26,33,19,33,4,7,5,7,3,
33_1,3,7,11,16,28,29,94,32,26,35,21,27,4,4,5,12,1,
33_2,3,7,10,15,27,29,91,32,26,34,20,25,4,3,5,12,2,
33_3,3,8,12,17,24,29,93,32,26,32,16,29,5,4,5,7,5,
33_4,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5,
33_5,4,9,14,18,24,28,97,32,24,33,15,32,5,5,4,6,4,
33_6,7,8,11,16,24,31,97,38,24,32,16,27,1,3,5,8,7,
33_7,5,12,13,19,25,30,104,35,25,37,13,32,7,1,6,6,5,
33_8,4,11,13,18,25,30,101,34,26,36,14,31,7,2,5,7,5,
33_9,3,6,13,18,22,31,93,34,28,28,16,31,3,7,5,4,9,
33_10,3,7,11,16,21,31,89,34,28,28,14,27,4,4,5,5,10,
34_1,4,7,9,15,24,28,87,32,24,31,17,24,3,2,6,9,4,
34_2,2,7,11,16,26,30,92,32,28,33,19,27,5,4,5,10,4,
34_3,3,7,12,17,23,27,89,30,24,30,16,29,4,5,5,6,4,
34_4,4,9,15,20,24,28,100,32,24,33,15,35,5,6,5,4,4,
34_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
34_6,4,8,9,14,24,30,89,34,26,32,16,23,4,1,5,10,6,
34_7,3,7,9,14,25,30,88,33,27,32,18,23,4,2,5,11,5,
34_8,2,5,8,12,23,28,78,30,26,28,18,20,3,3,4,11,5,
34_9,2,8,11,15,21,29,86,31,27,29,13,26,6,3,4,6,8,
34_10,4,9,13,17,25,29,97,33,25,34,16,30,5,4,4,8,4,
35_1,3,5,9,14,23,28,82,31,25,28,18,23,2,4,5,9,5,
35_2,3,6,9,14,27,28,87,31,25,33,21,23,3,3,5,13,1,
35_3,5,7,12,17,24,28,93,33,23,31,17,29,2,5,5,7,4,
35_4,5,9,15,19,24,28,100,33,23,33,15,34,4,6,4,5,4,
35_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
35_6,4,8,10,17,26,30,95,34,26,34,18,27,4,2,7,9,4,
35_7,4,8,13,19,27,30,101,34,26,35,19,32,4,5,6,8,3,
35_8,3,6,12,18,24,30,93,33,27,30,18,30,3,6,6,6,6,
35_9,3,7,14,16,21,27,88,30,24,28,14,30,4,7,2,5,6,
35_10,5,11,18,21,24,29,108,34,24,35,13,39,6,7,3,3,5,
36_1,4,9,11,14,24,25,87,29,21,33,15,25,5,2,3,10,1,
36_2,4,11,14,18,27,29,103,33,25,38,16,32,7,3,4,9,2,
