13_4: 1, [5, 9, 14, 19, 24, 29] [3, 3, 1, 0, 0, 1, 0, 4, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0]
2_4: 1, [4, 9, 14, 19, 23, 29] [3, 3, 0, 0, 2, 0, 0, 3, 0, 1, 2, 1, 0, 2, 3, 1, 0, 0, 1, 1]
9_5: 1, [5, 9, 15, 20, 25, 29] [3, 2, 2, 0, 1, 1, 1, 0, 2, 2, 2, 0, 2, 0, 2, 0, 0, 3, 0, 1]
9_6: 1, [4, 16, 22, 27, 30, 33] [3, 1, 1, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2]
18_8: 1, [3, 11, 19, 26, 29, 30] [3, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1]
19_5: 1, [4, 9, 15, 19, 24, 29] [3, 1, 1, 0, 0, 0, 1, 1, 1, 2, 2, 0, 2, 1, 0, 0, 0, 3, 0, 1]
2_5: 0, [4, 10, 15, 19, 25, 29] [3, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 2, 0, 1, 0, 0, 2, 0, 1]
9_8: 0, [3, 13, 19, 24, 30, 35] [3, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 4, 1, 1, 1, 1]
10_9: 1, [3, 12, 20, 24, 27, 30] [3, 1, 2, 0, 2, 1, 0, 2, 1, 1, 2, 3, 1, 1, 2, 1, 0, 0, 0, 0]
12_10: 1, [3, 10, 14, 20, 26, 29] [3, 2, 0, 0, 1, 1, 0, 1, 1, 2, 2, 1, 0, 2, 0, 1, 0, 2, 2, 0]
8_5: 1, [5, 9, 15, 19, 24, 29] [3, 2, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 0, 3, 0, 1]
17_4: 0, [5, 10, 15, 20, 25, 29] [3, 2, 0, 0, 0, 0, 1, 3, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]
11_10: 1, [1, 11, 19, 22, 27, 31] [3, 2, 1, 0, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 0, 1, 0, 2, 1, 1]
17_1: 2, [8, 15, 23, 26, 24, 30] [4, 0, 2, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 2, 1, 2, 0, 1]
5_7: 1, [3, 9, 20, 24, 31, 33] [3, 0, 3, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 1, 2, 1]
9_9: 0, [4, 11, 18, 24, 29, 33] [3, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 0, 1, 4, 2, 3, 2, 0]
19_2: 1, [7, 12, 19, 23, 27, 31] [3, 2, 3, 2, 0, 1, 0, 1, 2, 1, 1, 2, 2, 2, 3, 2, 1, 1, 3, 2]
