Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230810,23092,17,4,2,1,10,35,5,0,36,30,44,20,49,9,12,1,7,1,3,6,10
20230815,23094,5,13,4,3,2,31,14,3,37,25,40,20,26,4,2,2,16,1,3,8,11
20230815,400_1,17,8,4,2,6,36,7,0,38,23,40,15,39,5,5,3,6,2,2,3,4
20230815,400_2,17,8,4,3,5,36,8,0,40,22,41,13,39,5,4,2,6,3,3,2,5
20230815,400_3,14,9,6,3,3,36,10,0,38,22,38,12,36,4,4,2,5,5,3,3,5
20230815,400_4,13,10,7,3,3,35,10,0,37,22,37,12,36,4,5,2,4,5,3,3,6
20230815,400_5,12,10,6,4,2,34,12,0,39,21,38,11,38,4,4,2,4,5,3,3,5
20230815,600_1,12,8,5,3,8,31,9,0,32,25,40,16,43,8,7,4,4,0,2,5,8
20230815,600_2,10,9,4,3,7,31,9,0,32,24,39,15,42,7,7,4,4,0,2,5,9
20230815,600_3,9,10,5,3,6,32,10,1,33,23,39,14,42,7,6,3,3,1,2,6,9
20230815,600_4,5,12,5,4,4,33,10,1,32,22,36,13,40,6,7,3,3,2,2,7,9
20230815,600_5,6,11,6,4,3,31,12,1,33,22,37,13,40,6,7,3,3,2,2,7,8
20230815,1000_1,13,3,5,2,7,38,4,0,34,28,37,17,43,7,8,5,3,3,3,9,9
20230815,1000_2,13,4,4,3,6,38,5,0,35,27,38,16,43,6,8,5,3,3,3,8,9
20230815,1000_3,12,4,4,3,6,37,6,0,35,26,37,16,43,6,8,5,3,3,3,9,9
20230815,1000_4,10,6,5,3,5,35,7,1,36,25,37,15,43,5,8,4,2,4,3,9,9
20230815,1000_5,7,8,7,3,3,34,10,1,35,24,34,15,40,3,8,5,1,4,3,10,7
