Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
23058,20230523,2,16,6,14,19,3,8,4,1,3,9
23058,20230523,4,4,3,2,7,5,3,5,4,6,8
23058,20230523,4,4,3,2,7,5,2,6,4,6,8
23058,20230523,4,4,3,2,7,5,2,6,3,5,8
23058,20230523,4,4,4,2,6,6,1,7,3,6,10
23058,20230523,4,5,3,2,6,7,1,7,3,6,10
