Date,1_10,16_9,3_1,3_2,5_1,7_8,15_6,15_7,17_3,20_3,20_6,1_6,1_9,2_1,3_8,7_1,8_9,10_8,12_10,16_8
20241128,1,2,1,0,0,0,1,1,1,0,0,0,2,1,0,0,0,1,1,0
20241201,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,2,0,0,0,1
20241203,1,0,2,0,0,0,2,0,1,1,1,1,0,1,1,2,0,1,1,2
20241205,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,2,1,0,1,0
20241208,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,1
20241210,1,1,1,1,0,1,0,1,0,0,0,2,1,1,0,0,1,0,1,0
20241212,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0
20241215,2,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
20241217,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,2,0,2,0
20241219,0,0,1,0,1,0,2,0,0,0,1,1,0,0,1,1,0,1,0,2
20241222,0,0,2,1,2,0,0,0,0,0,1,2,2,2,1,1,0,2,0,0
20241224,0,2,0,1,0,1,0,0,2,2,2,0,0,3,0,1,0,1,2,0
20241226,2,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1
20241229,2,0,1,0,0,0,1,0,2,0,1,0,1,1,0,0,0,2,0,2
20241231,0,0,0,0,2,2,0,0,1,0,0,0,1,3,0,0,0,0,0,1
20250102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20250105,3,2,0,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,2,0
20250107,1,1,0,2,1,0,0,2,0,1,1,0,1,3,2,0,1,1,0,2
20250109,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
20250112,1,0,0,2,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0
20250114,1,0,2,0,0,1,0,1,1,1,1,0,2,0,1,0,2,1,0,0
20250116,0,2,1,1,1,0,0,0,1,1,0,0,0,1,1,2,1,2,0,1
20250119,2,0,3,0,1,0,3,1,1,1,1,0,1,1,0,1,1,0,2,0
20250121,1,1,0,2,1,0,0,1,2,1,1,1,0,0,0,0,2,3,1,1
20250123,0,1,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0
20250126,0,3,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,2,0,1
20250206,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
20250209,0,2,2,0,0,1,2,1,2,2,0,2,0,2,0,1,0,0,1,0
20250211,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,3,2,0
20250213,1,0,1,2,0,1,2,0,2,0,0,1,0,1,1,0,3,0,0,1
20250216,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1
20250218,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,2
20250220,1,0,1,1,1,1,1,0,0,0,1,2,2,0,0,1,1,1,1,1
