Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240521,24057,5,2,3,1,1,12,6,1,100,34,28,31,15,35,5,9,1,5,8,4,7,8,1
20240523,24058,1,6,3,3,0,0,13,7,106,37,21,39,15,30,4,1,4,10,2,4,6,13,9
20240523,100_1,1,3,4,2,0,9,8,0,96,33,24,29,14,33,2,6,4,3,6,2,5,6,6
20240523,100_2,2,2,4,1,0,11,8,0,94,34,26,28,18,31,2,7,4,5,5,1,2,11,9
20240523,100_3,1,2,5,2,0,9,9,0,78,28,23,23,14,25,1,5,4,5,5,2,3,10,8
20240523,100_4,2,2,4,2,0,7,10,0,71,25,21,21,13,25,2,5,3,4,5,1,2,10,9
20240523,100_5,1,2,4,2,0,8,10,0,67,24,19,19,9,22,1,3,5,2,7,1,3,6,9
20240523,200_1,1,3,3,1,0,11,8,0,98,33,20,31,13,33,2,6,3,4,4,2,3,11,4
20240523,200_2,1,3,5,1,0,11,8,0,83,28,21,27,17,30,1,6,7,4,2,2,3,14,6
20240523,200_3,1,3,5,1,0,10,8,1,67,24,19,21,12,22,1,4,4,4,4,3,4,11,4
20240523,200_4,1,4,3,0,0,11,8,0,71,25,19,22,13,25,1,6,3,3,4,2,3,14,5
20240523,200_5,0,5,4,0,0,10,9,0,57,21,20,17,8,18,3,4,3,2,8,2,5,6,10
20240523,300_1,2,4,2,1,1,11,6,1,109,36,23,34,14,38,3,6,5,2,5,3,5,5,3
20240523,300_2,3,3,3,1,1,9,8,1,85,30,24,25,18,29,0,8,5,4,5,1,3,12,11
20240523,300_3,2,3,4,1,0,9,7,1,83,29,23,25,14,27,2,5,4,4,6,2,4,8,3
20240523,300_4,2,3,4,1,1,9,8,1,80,26,22,23,12,28,3,6,3,2,6,2,4,9,5
20240523,300_5,0,5,3,0,0,10,7,1,83,29,22,25,11,27,3,5,2,3,7,2,3,6,4
